FL_DATE,ORIGIN,DEST,DEP_TIME,ARR_TIME
1/1/17,HKG,CVG,0,2400
1/1/17,HKG,DFW,0,2400
1/1/17,HKG,JFK,0,2400
1/1/17,HKG,LAX,0,2400
1/1/17,HKG,LCK,0,2400
1/1/17,HKG,MIA,0,2400
1/1/17,HKG,ORD,0,2400
1/1/17,HKG,ATL,0,2400
1/1/17,HKG,BOS,0,2400
1/1/17,HKG,DFW,0,2400
1/1/17,HKG,EWR,0,2400
1/1/17,HKG,JFK,0,2400
1/1/17,HKG,JFK,0,2400
1/1/17,HKG,LAX,0,2400
1/1/17,HKG,LAX,0,2400
1/1/17,HKG,LCK,0,2400
1/1/17,HKG,MIA,0,2400
1/1/17,HKG,ORD,0,2400
1/1/17,HKG,ORD,0,2400
1/1/17,HKG,SFO,0,2400
1/1/17,HKG,SPN,0,2400
1/1/17,HKG,DFW,0,2400
1/1/17,HKG,LAX,0,2400
1/1/17,HKG,SFO,0,2400
1/1/17,HKG,ANC,0,2400
1/1/17,HKG,ANC,0,2400
1/1/17,HKG,ANC,0,2400
1/1/17,HKG,LAX,0,2400
1/1/17,HKG,ANC,0,2400
1/1/17,HKG,CVG,0,2400
1/1/17,HKG,LAX,0,2400
1/1/17,HKG,DFW,0,2400
1/1/17,HKG,LAX,0,2400
1/1/17,HKG,LGA,0,2400
1/1/17,HKG,DTW,0,2400
1/1/17,HKG,SEA,0,2400
1/1/17,HKG,ANC,0,2400
1/1/17,HKG,MEM,0,2400
1/1/17,HKG,ANC,0,2400
1/1/17,HKG,FAI,0,2400
1/1/17,HKG,ANC,0,2400
1/1/17,HKG,CVG,0,2400
1/1/17,HKG,LAX,0,2400
1/1/17,HKG,EWR,0,2400
1/1/17,HKG,GUM,0,2400
1/1/17,HKG,ORD,0,2400
1/1/17,HKG,SFO,0,2400
1/1/17,HKG,LHR,0,2400
1/1/17,HKG,KUL,0,2400
1/1/17,HKG,PUS,0,2400
1/1/17,HKG,YYZ,0,2400
1/1/17,HKG,YVR,0,2400
1/1/17,HKG,PEK,0,2400
1/1/17,HKG,CTU,0,2400
1/1/17,HKG,CDG,0,2400
1/1/17,HKG,DEL,0,2400
1/1/17,HKG,BOM,0,2400
1/1/17,HKG,KIX,0,2400
1/1/17,HKG,ICN,0,2400
1/1/17,HKG,AKL,0,2400
1/1/17,HKG,NGO,0,2400
1/1/17,HKG,HND,0,2400
1/1/17,HKG,NRT,0,2400
1/1/17,HKG,VIE,0,2400
1/1/17,HKG,CKG,0,2400
1/1/17,HKG,CGO,0,2400
1/1/17,HKG,XIY,0,2400
1/1/17,HKG,SHE,0,2400
1/1/17,HKG,DLC,0,2400
1/1/17,HKG,CAN,0,2400
1/1/17,HKG,PVG,0,2400
1/1/17,HKG,SHA,0,2400
1/1/17,HKG,KHG,0,2400
1/1/17,HKG,AMS,0,2400
1/1/17,HKG,BCN,0,2400
1/1/17,HKG,FUK,0,2400
1/1/17,HKG,FRA,0,2400
1/1/17,HKG,BNE,0,2400
1/1/17,HKG,JNB,0,2400
1/1/17,HKG,CTS,0,2400
1/1/17,HKG,TPE,0,2400
1/1/17,HKG,TLV,0,2400
1/1/17,HKG,SIN,0,2400
1/1/17,HKG,MEL,0,2400
1/1/17,HKG,MNL,0,2400
1/1/17,HKG,BKK,0,2400
1/1/17,HKG,ADD,0,2400
1/1/17,HKG,AUH,0,2400
1/1/17,HKG,HEL,0,2400
1/1/17,HKG,HAN,0,2400
1/1/17,HKG,ZRH,0,2400
1/1/17,HKG,ARN,0,2400
1/1/17,HKG,DXB,0,2400
